0,564261
1,63292
2,125558
3,104247
4,142761
5,252989
6,212060
7,297191
8,110993
9,18543
10,116715
11,54897
12,26376
13,106408
14,82686
15,26261
16,50458
17,23350
18,3293
19,90390
20,28979
21,189678
22,90359
23,129463
24,399071
25,690245
26,26889
27,91517
28,122413
29,254315
30,695375
31,59386
32,3913
33,89771
34,64756
35,34777
36,18509
37,299954
38,63015
39,115263
40,491367
41,328974
42,53566
43,29609
44,131159
45,398480
46,23644
47,122696
48,64773
49,107622
50,123567
51,62139
52,480679
53,612838
54,357812
55,31738
56,18387
57,19507
58,72344
59,603810
60,54611
61,53109
62,19126
63,27089
64,262018
65,249298
66,54609
67,3050
68,231707
69,133741
70,112033
71,232378
72,198150
73,123315
74,18664
75,279926
76,242278
77,128492
78,68328
79,179401
80,53085
81,81684
82,9696
83,102027
84,154948
85,487398
86,669063
87,50055
88,451930
89,209082
90,331505
91,117858
92,66518
93,18674
94,27359
95,20480
96,304225
97,2919
98,376173
99,50904
100,64785
101,10709
